pin,slack
un2_blinker_cry_25:FCI,16939
un2_blinker_cry_25:FCO,16939
un2_blinker_cry_25:S,16958
LED1_GREEN_obuf/U0/U_IOPAD:D,
LED1_GREEN_obuf/U0/U_IOPAD:E,
LED1_GREEN_obuf/U0/U_IOPAD:PAD,
blinker[12]:ADn,
blinker[12]:ALn,
blinker[12]:CLK,15475
blinker[12]:D,17205
blinker[12]:EN,
blinker[12]:LAT,
blinker[12]:Q,15475
blinker[12]:SD,
blinker[12]:SLn,14576
LED1_GREEN_obuf/U0/U_IOENFF:A,
LED1_GREEN_obuf/U0/U_IOENFF:Y,
flash_freeze_inst/INST_FLASH_FREEZE_IP:FF_TO_START,
blinker[18]:ADn,
blinker[18]:ALn,
blinker[18]:CLK,14142
blinker[18]:D,17091
blinker[18]:EN,
blinker[18]:LAT,
blinker[18]:Q,14142
blinker[18]:SD,
blinker[18]:SLn,
un2_blinker_cry_15:A,
un2_blinker_cry_15:B,17232
un2_blinker_cry_15:C,
un2_blinker_cry_15:D,
un2_blinker_cry_15:FCI,16939
un2_blinker_cry_15:FCO,16939
un2_blinker_cry_15:S,17148
un2_blinker_s_1_55:A,
un2_blinker_s_1_55:B,16939
un2_blinker_s_1_55:C,
un2_blinker_s_1_55:D,
un2_blinker_s_1_55:FCI,
un2_blinker_s_1_55:FCO,16939
un2_blinker_cry_4:A,
un2_blinker_cry_4:B,17023
un2_blinker_cry_4:C,
un2_blinker_cry_4:D,
un2_blinker_cry_4:FCI,16939
un2_blinker_cry_4:FCO,16939
un2_blinker_cry_4:S,17357
blinker[15]:ADn,
blinker[15]:ALn,
blinker[15]:CLK,15240
blinker[15]:D,17148
blinker[15]:EN,
blinker[15]:LAT,
blinker[15]:Q,15240
blinker[15]:SD,
blinker[15]:SLn,14576
un2_blinker_cry_23:A,
un2_blinker_cry_23:B,17384
un2_blinker_cry_23:C,
un2_blinker_cry_23:D,
un2_blinker_cry_23:FCI,16939
un2_blinker_cry_23:FCO,16939
un2_blinker_cry_23:S,16996
blinker[11]:ADn,
